operationId,character_count,top_level
GetBillingCreditGrantsId,970,false
GetCustomersCustomer,970,true
PostTestHelpersIssuingCardsCardShippingFail,968,false
PostTestHelpersIssuingCardsCardShippingShip,968,false
GetWebhookEndpointsWebhookEndpoint,968,true
PostCreditNotesIdVoid,966,false
GetShippingRatesShippingRateToken,966,true
GetSubscriptionsSubscriptionExposedId,966,true
GetIdentityVerificationReportsReport,965,false
PostBillingMetersIdReactivate,964,false
GetIssuingPhysicalBundlesPhysicalBundle,964,false
GetIssuingTransactionsTransaction,964,false
GetInvoicePaymentsInvoicePayment,962,true
GetTreasuryInboundTransfersId,962,false
GetIssuingCardholdersCardholder,958,false
GetIssuingSettlementsSettlement,958,false
GetTreasuryDebitReversalsDebitReversal,958,false
GetReportingReportRunsReportRun,956,false
GetClimateProductsProduct,952,false
GetTaxTransactionsTransaction,951,false
GetEntitlementsFeaturesId,949,false
GetRadarValueListItemsItem,949,false
GetSubscriptionItemsItem,949,true
GetTreasuryTransactionEntriesId,948,false
GetTreasuryTransactionsId,944,false
GetInvoiceitemsInvoiceitem,943,true
GetRadarValueListsValueList,942,false
PostTestHelpersIssuingAuthorizationsAuthorizationExpire,941,false
GetIssuingDisputesDispute,940,false
GetBalanceSettings,938,true
GetCountrySpecsCountry,938,true
GetIssuingTokensToken,937,false
PostBillingAlertsIdArchive,936,false
GetCheckoutSessionsSession,936,false
GetCreditNotesId,936,true
GetCustomersCustomerCashBalance,936,false
GetTestHelpersTestClocksTestClock,936,false
GetTaxRegistrationsId,935,false
PostBillingCreditGrantsIdExpire,934,false
GetForwardingRequestsId,934,false
GetClimateSuppliersSupplier,932,false
PostReviewsReviewApprove,930,false
DeleteInvoicesInvoice,929,true
PostTreasuryInboundTransfersInboundTransferCancel,929,false
PostBillingCreditGrantsIdVoid,928,false
GetIssuingCardsCard,922,false
GetTaxIdsId,922,true
GetBillingMetersId,921,false
GetPaymentLinksPaymentLink,921,true
GetBillingAlertsId,920,false
DeleteEphemeralKeysKey,919,true
GetInvoicesInvoice,917,true
GetTaxRatesTaxRate,917,true
GetDisputesDispute,916,true
PostBillingAlertsIdDeactivate,911,false
PostTerminalReadersReaderCancelAction,911,false
GetAccountsAccount,910,true
DeleteAccountsAccountExternalAccountsId,910,false
GetCouponsCoupon,910,true
GetReviewsReview,910,true
DeleteAccountsAccountBankAccountsId,906,false
PostBillingAlertsIdActivate,906,false
GetPricesPrice,904,true
GetQuotesQuote,904,true
GetTokensToken,904,true
PostTestHelpersRefundsRefundExpire,902,false
PostTreasuryOutboundPaymentsIdCancel,901,false
GetFileLinksLink,900,true
GetPlansPlan,898,true
GetRefundsRefund,898,true
GetChargesChargeDispute,891,false
DeleteCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount,890,false
GetApplePayDomainsDomain,888,false
PostTopupsTopupCancel,888,false
PostApplicationFeesIdRefund,886,false
GetMandatesMandate,886,true
DeleteWebhookEndpointsWebhookEndpoint,865,true
PostQuotesQuoteAccept,860,false
DeleteProductsId,856,true
DeleteInvoiceitemsInvoiceitem,851,true
GetCustomersCustomerDiscount,850,false
PostQuotesQuoteCancel,850,false
DeleteRadarValueListsValueList,843,false
DeleteProductsProductFeaturesId,836,false
GetTaxSettings,819,false
PostChargesChargeDisputeClose,809,false
DeleteCustomersCustomerTaxIdsId,808,false
GetAccount,794,true
DeleteCustomersCustomer,781,true
PostApplePayDomains,778,false
DeleteSubscriptionsSubscriptionExposedIdDiscount,772,false
DeleteRadarValueListItemsItem,768,false
DeleteTerminalConfigurationsConfiguration,748,false
DeleteCustomersCustomerDiscount,732,false
DeletePlansPlan,732,true
DeleteTerminalLocationsLocation,718,false
DeleteTestHelpersTestClocksTestClock,715,false
DeleteTaxIdsId,710,true
DeleteTerminalReadersReader,706,false
DeleteApplePayDomainsDomain,669,false
